NAME,RATING,PHONE,WEBSITE,GOOGLE_MAPS_LINK
SNIT Centre Sousse,"3,9",73 225 113,Checking...,https://www.google.com/maps/place/SNIT+Centre+Sousse/data=!4m7!3m6!1s0x130275714610c341:0x4b24c15b6b0f8207!8m2!3d35.8278645!4d10.6355094!16s%2Fg%2F1x5cwmyg!19sChIJQcMQRnF1AhMRB4IPa1vBJEs?authuser=0&hl=fr&rclk=1
world design sousse,"4,0",98 419 619,Checking...,https://www.google.com/maps/place/world+design+sousse/data=!4m7!3m6!1s0x1302756c02e65b5d:0xafcdc7b3302ec981!8m2!3d35.8183142!4d10.6367714!16s%2Fg%2F1q5bml1t7!19sChIJXVvmAmx1AhMRgckuMLPHza8?authuser=0&hl=fr&rclk=1
Super Climat Shop (SCS Sousse),"5,0",73 202 651,Checking...,https://www.google.com/maps/place/Super+Climat+Shop+%28SCS+Sousse%29/data=!4m7!3m6!1s0x1302757770ce45b9:0xc219bb8c7b5cab1d!8m2!3d35.8312292!4d10.631695!16s%2Fg%2F11gd1v7tdf!19sChIJuUXOcHd1AhMRHatce4y7GcI?authuser=0&hl=fr&rclk=1
SAV MIPS Sousse,"3,0",28 407 813,Checking...,https://www.google.com/maps/place/SAV+MIPS+Sousse/data=!4m7!3m6!1s0x13027577b081152f:0xec794a1b2841eab5!8m2!3d35.8323112!4d10.63282!16s%2Fg%2F11ddzy150g!19sChIJLxWBsHd1AhMRtepBKBtKeew?authuser=0&hl=fr&rclk=1
Ozeol Company,"3,3",70 108 400,Checking...,https://www.google.com/maps/place/Ozeol+Company/data=!4m7!3m6!1s0x12fd8a1a0538ef45:0x26179404fe8e7998!8m2!3d35.8386356!4d10.6056568!16s%2Fg%2F1q5gpk83d!19sChIJRe84BRqK_RIRmHmO_gSUFyY?authuser=0&hl=fr&rclk=1
"S/S Agil Mohamed Maarouf, Sousse","4,0",73 203 686,Checking...,"https://www.google.com/maps/place/S%2FS+Agil+Mohamed+Maarouf,+Sousse/data=!4m7!3m6!1s0x130275729e8c0001:0xaad4ce05eda49fbb!8m2!3d35.8229358!4d10.640486!16s%2Fg%2F11sskr83w7!19sChIJAQCMnnJ1AhMRu5-k7QXO1Ko?authuser=0&hl=fr&rclk=1"
Zitouni Interior,"5,0",99 765 573,Checking...,https://www.google.com/maps/place/Zitouni+Interior/data=!4m7!3m6!1s0x130275713ed96da5:0xd4326e01fdf6f61a!8m2!3d35.8363491!4d10.6305392!16s%2Fg%2F11rmxsdfwd!19sChIJpW3ZPnF1AhMRGvb2_QFuMtQ?authuser=0&hl=fr&rclk=1
TCC INFORMATIQUE,"5,0","1952
73 229 122",Checking...,https://www.google.com/maps/place/TCC+INFORMATIQUE/data=!4m7!3m6!1s0x13027581989ac9c5:0x5a12a8a65374f80b!8m2!3d35.8298286!4d10.6366956!16s%2Fg%2F11r_k4bmzt!19sChIJxcmamIF1AhMRC_h0U6aoElo?authuser=0&hl=fr&rclk=1
Quicktext Sousse,N/A,73 210 332,Checking...,https://www.google.com/maps/place/Quicktext+Sousse/data=!4m7!3m6!1s0x130275a867481841:0xcc5aa07d87373e18!8m2!3d35.8320447!4d10.6367083!16s%2Fg%2F11y5vh_lb3!19sChIJQRhIZ6h1AhMRGD43h32gWsw?authuser=0&hl=fr&rclk=1
ALTRA CALL Sousse,"4,3",58 300 195,Checking...,https://www.google.com/maps/place/ALTRA+CALL+Sousse/data=!4m7!3m6!1s0x13027581123bf92b:0x2613033dbced24b2!8m2!3d35.8383807!4d10.623191!16s%2Fg%2F11c0rvtf0h!19sChIJK_k7EoF1AhMRsiTtvD0DEyY?authuser=0&hl=fr&rclk=1
Dima Voyages Sousse,"3,7",50 508 055,Checking...,https://www.google.com/maps/place/Dima+Voyages+Sousse/data=!4m7!3m6!1s0x130275731c26d89d:0x688c8f5c0aee0dac!8m2!3d35.8256774!4d10.640409!16s%2Fg%2F1tg_0xhc!19sChIJndgmHHN1AhMRrA3uClyPjGg?authuser=0&hl=fr&rclk=1
Mytek (Trocadero) Sousse,"2,9",36 010 377,Checking...,https://www.google.com/maps/place/Mytek+%28Trocadero%29+Sousse/data=!4m7!3m6!1s0x13027577afc353ef:0x4e85e6cfe79263d2!8m2!3d35.8322807!4d10.6331788!16s%2Fg%2F113gmkqzq!19sChIJ71PDr3d1AhMR0mOS58_mhU4?authuser=0&hl=fr&rclk=1
ROSA LEATHER,"4,5",98 139 043,Checking...,https://www.google.com/maps/place/ROSA+LEATHER/data=!4m7!3m6!1s0x13027596340cfd21:0x75fe915333d89bb3!8m2!3d35.8268236!4d10.6384393!16s%2Fg%2F11fm2p731p!19sChIJIf0MNJZ1AhMRs5vYM1OR_nU?authuser=0&hl=fr&rclk=1
NMA,N/A,53 906 866,Checking...,https://www.google.com/maps/place/NMA/data=!4m7!3m6!1s0x1302757f285372bf:0xdf641bea200917d8!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11rkbcbjp6!19sChIJv3JTKH91AhMR2BcJIOobZN8?authuser=0&hl=fr&rclk=1
Local BH Sousse Indépendance,N/A,N/A,Checking...,https://www.google.com/maps/place/Local+BH+Sousse+Ind%C3%A9pendance/data=!4m7!3m6!1s0x130275002dae159f:0xc32e19f99e7325c8!8m2!3d35.828806!4d10.6424449!16s%2Fg%2F11w7m8xpnh!19sChIJnxWuLQB1AhMRyCVznvkZLsM?authuser=0&hl=fr&rclk=1
RedDev Solutions,N/A,42 390 572,Checking...,https://www.google.com/maps/place/RedDev+Solutions/data=!4m7!3m6!1s0x1302756d1a14cc11:0xe3d236d7ecf80ea9!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11rq5xf_nz!19sChIJEcwUGm11AhMRqQ747Nc20uM?authuser=0&hl=fr&rclk=1
graphicart agency,"5,0",55 216 665,Checking...,https://www.google.com/maps/place/graphicart+agency/data=!4m7!3m6!1s0x130275c856be06f9:0xb99c38b71ab405f!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11rrvt0q76!19sChIJ-Qa-Vsh1AhMRX0CrcYvDmQs?authuser=0&hl=fr&rclk=1
Solar Power Company Sousse,"5,0",95 455 125,Checking...,https://www.google.com/maps/place/Solar+Power+Company+Sousse/data=!4m7!3m6!1s0x12fd8bc68c8dba73:0x65c132dd9f41ba4f!8m2!3d35.8369276!4d10.596857!16s%2Fg%2F11j9cmrv_c!19sChIJc7qNjMaL_RIRT7pBn90ywWU?authuser=0&hl=fr&rclk=1
Centre sousse,"5,0",N/A,Checking...,https://www.google.com/maps/place/Centre+sousse/data=!4m7!3m6!1s0x1302752d6fad25db:0xbe6f8f7d3f032459!8m2!3d35.8331196!4d10.6370868!16s%2Fg%2F11tsh4108g!19sChIJ2yWtby11AhMRWSQDP32Pb74?authuser=0&hl=fr&rclk=1
Groupe Win Immobilière Sousse Centre,"4,0",54 230 000,Checking...,https://www.google.com/maps/place/Groupe+Win+Immobili%C3%A8re+Sousse+Centre/data=!4m7!3m6!1s0x130275e1a1982c39:0xe800f3d82f5a0835!8m2!3d35.8299505!4d10.6324487!16s%2Fg%2F11jr6h5w2m!19sChIJOSyYoeF1AhMRNQhaL9jzAOg?authuser=0&hl=fr&rclk=1
feteyen,N/A,4000 4000,Checking...,https://www.google.com/maps/place/feteyen/data=!4m7!3m6!1s0x1302750ebdd5136f:0x463bbd32fc30909f!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11j5fc_nzr!19sChIJbxPVvQ51AhMRn5Aw_DK9O0Y?authuser=0&hl=fr&rclk=1
univers trader,N/A,N/A,Checking...,https://www.google.com/maps/place/univers+trader/data=!4m7!3m6!1s0x130275e348087175:0x78a2044f3204b9c6!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11r6sqrczv!19sChIJdXEISON1AhMRxrkEMk8Eong?authuser=0&hl=fr&rclk=1
ISRAA CAR,N/A,73222560,Checking...,https://www.google.com/maps/place/ISRAA+CAR/data=!4m7!3m6!1s0x1302750363200d99:0x84000a60b7830659!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11pb70zbf2!19sChIJmQ0gYwN1AhMRWQaDt2AKAIQ?authuser=0&hl=fr&rclk=1
Bijouterie Sabbagh,"4,9",96 021 021,Checking...,https://www.google.com/maps/place/Bijouterie+Sabbagh/data=!4m7!3m6!1s0x1302755fef0ffcf9:0x36ced6ac1df3de8d!8m2!3d35.8256472!4d10.6383896!16s%2Fg%2F11l4nxdjkj!19sChIJ-fwP7191AhMRjd7zHazWzjY?authuser=0&hl=fr&rclk=1
Chez Mhalla - sousse,N/A,"1957
92 902 009",Checking...,https://www.google.com/maps/place/Chez+Mhalla+-+sousse/data=!4m7!3m6!1s0x13027518b485f93f:0xa8db503b3f885de!8m2!3d35.8212075!4d10.6313028!16s%2Fg%2F11szc5bxd6!19sChIJP_mFtBh1AhMR3oX4swO1jQo?authuser=0&hl=fr&rclk=1
Cabinet Hassan Oueslati,"5,0",73 217 107,Checking...,https://www.google.com/maps/place/Cabinet+Hassan+Oueslati/data=!4m7!3m6!1s0x130275a6e6ce8639:0x5b798b83c995f25c!8m2!3d35.8248072!4d10.6318252!16s%2Fg%2F11hqdpj9ql!19sChIJOYbO5qZ1AhMRXPKVyYOLeVs?authuser=0&hl=fr&rclk=1
DCM Médical et Esthétique Sousse,N/A,56 442 007,Checking...,https://www.google.com/maps/place/DCM+M%C3%A9dical+et+Esth%C3%A9tique+Sousse/data=!4m7!3m6!1s0x13027596e353204d:0xce71ea99bfb1949a!8m2!3d35.8306209!4d10.628192!16s%2Fg%2F11m76kl153!19sChIJTSBT45Z1AhMRmpSxv5nqcc4?authuser=0&hl=fr&rclk=1
Bakiza Immobilier Internationale,N/A,N/A,Checking...,https://www.google.com/maps/place/Bakiza+Immobilier+Internationale/data=!4m7!3m6!1s0x13027543468b3301:0xb6d2d0be563bc0e0!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11hsqr7zdv!19sChIJATOLRkN1AhMR4MA7Vr7Q0rY?authuser=0&hl=fr&rclk=1
Cabinet d'avocat Maître Randa El Hiar,"5,0",98 607 242,Checking...,https://www.google.com/maps/place/Cabinet+d%27avocat+Ma%C3%AEtre+Randa+El+Hiar/data=!4m7!3m6!1s0x130275a89e97490f:0x5356c3b929ff217a!8m2!3d35.8284291!4d10.6330255!16s%2Fg%2F11q3c1djl3!19sChIJD0mXnqh1AhMReiH_KbnDVlM?authuser=0&hl=fr&rclk=1
Agrafe Sousse,"4,8",31 570 575,Checking...,https://www.google.com/maps/place/Agrafe+Sousse/data=!4m7!3m6!1s0x1302754648104415:0x386d603ea65a3b91!8m2!3d35.8306875!4d10.6250625!16s%2Fg%2F11rkpbnvy7!19sChIJFUQQSEZ1AhMRkTtapj5gbTg?authuser=0&hl=fr&rclk=1
Tribunal Première Instance de Sousse a1,"4,7",N/A,Checking...,https://www.google.com/maps/place/Tribunal+Premi%C3%A8re+Instance+de+Sousse+a1/data=!4m7!3m6!1s0x130275f9e9f0e565:0xdab448347101fb90!8m2!3d35.8271963!4d10.6339806!16s%2Fg%2F11fk1n4_g8!19sChIJZeXw6fl1AhMRkPsBcTRItNo?authuser=0&hl=fr&rclk=1
angle Sousse,N/A,N/A,Checking...,https://www.google.com/maps/place/angle+Sousse/data=!4m7!3m6!1s0x1302750127e62477:0x420761277aa051e!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11l5lb32j4!19sChIJdyTmJwF1AhMRHgWqdxJ2IAQ?authuser=0&hl=fr&rclk=1
Bijouterie Bouabid,"4,2",73 223 706,Checking...,https://www.google.com/maps/place/Bijouterie+Bouabid/data=!4m7!3m6!1s0x1302759decaebfd1:0xd25ff49709f7973b!8m2!3d35.8265615!4d10.6371086!16s%2Fg%2F11h3pl55kk!19sChIJ0b-u7J11AhMRO5f3CZf0X9I?authuser=0&hl=fr&rclk=1
3lines company,N/A,24 012 714,Checking...,https://www.google.com/maps/place/3lines+company/data=!4m7!3m6!1s0x13027593ad214977:0x200d534de43d04de!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11p01lknyh!19sChIJd0khrZN1AhMR3gQ95E1TDSA?authuser=0&hl=fr&rclk=1
Visioad,"5,0",31 439 350,Checking...,https://www.google.com/maps/place/Visioad/data=!4m7!3m6!1s0x12fdf5b9bc4b6f5d:0x25a1cfd0a4f533f!8m2!3d35.8299374!4d10.6403451!16s%2Fg%2F11t88_k_rc!19sChIJXW9LvLn1_RIRP1NPCv0cWgI?authuser=0&hl=fr&rclk=1
Maison MHALLA Sousse,N/A,N/A,Checking...,https://www.google.com/maps/place/Maison+MHALLA+Sousse/data=!4m7!3m6!1s0x13027500283c5ec1:0xaaafd82fdc2bcd72!8m2!3d35.8208385!4d10.6318122!16s%2Fg%2F11m6g2qm3x!19sChIJwV48KAB1AhMRcs0r3C_Yr6o?authuser=0&hl=fr&rclk=1
Maison sousse,"5,0",N/A,Checking...,https://www.google.com/maps/place/Maison+sousse/data=!4m7!3m6!1s0x1302750008d01f0d:0xaa8ffd379ef0d68!8m2!3d35.8122515!4d10.623049!16s%2Fg%2F11xnzn0p2p!19sChIJDR_QCAB1AhMRaA3vedP_qAo?authuser=0&hl=fr&rclk=1
Maxicom,"5,0",22 666 519,Checking...,https://www.google.com/maps/place/Maxicom/data=!4m7!3m6!1s0x130275b6ceac1a6d:0x647b7039ae12e9c2!8m2!3d35.8286874!4d10.6414896!16s%2Fg%2F11tmn0gx9s!19sChIJbRqszrZ1AhMRwukSrjlwe2Q?authuser=0&hl=fr&rclk=1
Casse auto sousse,"5,0",96 630 123,Checking...,https://www.google.com/maps/place/Casse+auto+sousse/data=!4m7!3m6!1s0x130207cf543b52d1:0xc660fd98bc48cb1a!8m2!3d35.8249587!4d10.6196515!16s%2Fg%2F11m5m09zbc!19sChIJ0VI7VM8HAhMRGstIvJj9YMY?authuser=0&hl=fr&rclk=1
Batam sousse Trocadéro,"3,2",29 506 484,Checking...,https://www.google.com/maps/place/Batam+sousse+Trocad%C3%A9ro/data=!4m7!3m6!1s0x1302758f198996b5:0x41198cb6b4796efd!8m2!3d35.831446!4d10.6315275!16s%2Fg%2F11frryyqnv!19sChIJtZaJGY91AhMR_W55tLaMGUE?authuser=0&hl=fr&rclk=1
GOLD PHONE SOUSSE,"4,5",54 240 453,Checking...,https://www.google.com/maps/place/GOLD+PHONE+SOUSSE/data=!4m7!3m6!1s0x1302751da4ca7e4b:0xfa548d77a2f03c61!8m2!3d35.8300253!4d10.6362714!16s%2Fg%2F11jdbb0xz9!19sChIJS37KpB11AhMRYTzwoneNVPo?authuser=0&hl=fr&rclk=1
Dar hmouya sousse,N/A,N/A,Checking...,https://www.google.com/maps/place/Dar+hmouya+sousse/data=!4m7!3m6!1s0x130275002382ce61:0x567d37e56ba90383!8m2!3d35.8245029!4d10.634584!16s%2Fg%2F11xtrhqsxg!19sChIJYc6CIwB1AhMRgwOpa-U3fVY?authuser=0&hl=fr&rclk=1
GCER - Génie du composite Etude et Réalisation,"4,0",73 238 960,Checking...,https://www.google.com/maps/place/GCER+-+G%C3%A9nie+du+composite+Etude+et+R%C3%A9alisation/data=!4m7!3m6!1s0x13020a93e58bd61b:0xc340e2caa769f57c!8m2!3d35.7623237!4d10.6372516!16s%2Fg%2F11cm_qhy02!19sChIJG9aL5ZMKAhMRfPVpp8riQMM?authuser=0&hl=fr&rclk=1
Boutique Orange jawhara Sousse,"4,8",54 441 666,Checking...,https://www.google.com/maps/place/Boutique+Orange+jawhara+Sousse/data=!4m7!3m6!1s0x13027596d39c2125:0x9564a5e7277abbaf!8m2!3d35.8329328!4d10.6268955!16s%2Fg%2F11ksnvtbqt!19sChIJJSGc05Z1AhMRr7t6J-elZJU?authuser=0&hl=fr&rclk=1
Tecnocasa Sousse Centre-ville,"3,9",29 000 325,Checking...,https://www.google.com/maps/place/Tecnocasa+Sousse+Centre-ville/data=!4m7!3m6!1s0x130275504493bc45:0x8cb510ea61a94cd5!8m2!3d35.824194!4d10.628026!16s%2Fg%2F11fjw4_hbk!19sChIJRbyTRFB1AhMR1UypYeoQtYw?authuser=0&hl=fr&rclk=1
WIKI Sousse Centre,"3,3",73 200 452,Checking...,https://www.google.com/maps/place/WIKI+Sousse+Centre/data=!4m7!3m6!1s0x1302757691d805a3:0x2cedcddc1d364701!8m2!3d35.8305647!4d10.6355663!16s%2Fg%2F11cm_qbtr6!19sChIJowXYkXZ1AhMRAUc2HdzN7Sw?authuser=0&hl=fr&rclk=1
Dheyafa Tourisme Sousse,"5,0",93 190 506,Checking...,https://www.google.com/maps/place/Dheyafa+Tourisme+Sousse/data=!4m7!3m6!1s0x130275afafae785b:0xff4a4f4d1f48f83c!8m2!3d35.8256075!4d10.6338547!16s%2Fg%2F11fnx62d51!19sChIJW3iur691AhMRPPhIH01PSv8?authuser=0&hl=fr&rclk=1
IPB Sousse,"1,0",N/A,Checking...,https://www.google.com/maps/place/IPB+Sousse/data=!4m7!3m6!1s0x130275000ff708b5:0x78e2cf04479b291c!8m2!3d35.8312068!4d10.6255854!16s%2Fg%2F11y9snsdhj!19sChIJtQj3DwB1AhMRHCmbRwTP4ng?authuser=0&hl=fr&rclk=1
Agence Seca Sousse,"3,7",73 202 261,Checking...,https://www.google.com/maps/place/Agence+Seca+Sousse/data=!4m7!3m6!1s0x130275741b37e9a7:0x66417bf5ffe0acc5!8m2!3d35.8292004!4d10.6375644!16s%2Fg%2F1q64pmtv4!19sChIJp-k3G3R1AhMRxazg__V7QWY?authuser=0&hl=fr&rclk=1
Tecnocasa Sousse Jawhara,"4,3",28 500 020,Checking...,https://www.google.com/maps/place/Tecnocasa+Sousse+Jawhara/data=!4m7!3m6!1s0x130275b970b4b3a5:0x669612470d0ff2b6!8m2!3d35.8336216!4d10.629317!16s%2Fg%2F11y2ms3dn7!19sChIJpbO0cLl1AhMRtvIPDUcSlmY?authuser=0&hl=fr&rclk=1
Sono Sousse 98535771,"5,0","98535771
5",Checking...,https://www.google.com/maps/place/Sono+Sousse+98535771/data=!4m7!3m6!1s0x1302753f2f6c04bd:0x69bb357da5089497!8m2!3d35.8343162!4d10.6274842!16s%2Fg%2F11h3cykk97!19sChIJvQRsLz91AhMRl5QIpX01u2k?authuser=0&hl=fr&rclk=1
Gust house சுஸ் sousse,N/A,N/A,Checking...,https://www.google.com/maps/place/Gust+house+%E0%AE%9A%E0%AF%81%E0%AE%B8%E0%AF%8D+sousse/data=!4m7!3m6!1s0x130275005b3212e5:0xb7cc1dba9bdba936!8m2!3d35.8226065!4d10.6298197!16s%2Fg%2F11n3c09lbg!19sChIJ5RIyWwB1AhMRNqnbm7odzLc?authuser=0&hl=fr&rclk=1
Home Store Sousse,N/A,24 036 949,Checking...,https://www.google.com/maps/place/Home+Store+Sousse/data=!4m7!3m6!1s0x130275ceff0f4fd5:0xda901725ef068abe!8m2!3d35.8109411!4d10.6227073!16s%2Fg%2F11r_drr9sn!19sChIJ1U8P_851AhMRvooG7yUXkNo?authuser=0&hl=fr&rclk=1
Location Voiture Sousse تأجير سيارات rent car Sousse,"3,3",29 205 888,Checking...,https://www.google.com/maps/place/Location+Voiture+Sousse+%D8%AA%D8%A3%D8%AC%D9%8A%D8%B1+%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+rent+car+Sousse%E2%80%AD/data=!4m7!3m6!1s0x130275ec16be4677:0xeedc583fe7fe0ab!8m2!3d35.8312798!4d10.6402118!16s%2Fg%2F11hzthqbts!19sChIJd0a-Fux1AhMRq-B__oPF7Q4?authuser=0&hl=fr&rclk=1
Centre d'expertise Astree sousse,"4,3",31 304 241,Checking...,https://www.google.com/maps/place/Centre+d%27expertise+Astree+sousse/data=!4m7!3m6!1s0x1302752cfeb2c93d:0x5c556d2127fe5199!8m2!3d35.8113267!4d10.6439575!16s%2Fg%2F11t8d7r3g5!19sChIJPcmy_ix1AhMRmVH-JyFtVVw?authuser=0&hl=fr&rclk=1
MIR TRAVEL SOUSSE,"4,4",73 229 701,Checking...,https://www.google.com/maps/place/MIR+TRAVEL+SOUSSE/data=!4m7!3m6!1s0x13027544658491b3:0x6a267d52eb4025aa!8m2!3d35.8299202!4d10.6348406!16s%2Fg%2F11f5v5mxtx!19sChIJs5GEZUR1AhMRqiVA61J9Jmo?authuser=0&hl=fr&rclk=1
